ID;STATION CODE;LOCATIONS;STATE;Temp;TempW;DO;DOW;Conductivity;ConductivityW;NI;NIW;WQI;WQI clf
1405;1435;KOLAK AT RAILWAY BRIDGE NO. 313 VAPI.VALSAD. GUJARAT;GUJARAT;25;0.47;6;0.53;8838;0.134;0.7;0.00634833;98.31275159;0
1406;1434;AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH.GUJARAT;GUJARAT;30;0.75;0;-0.02;3080;0.047;4.8;0.044070292;548.6490957;0
1407;1438;MINDHOLA AT STATE HIGHWAY BRIDGE SACHIN. GUJARAT;GUJARAT;28;0.64;2.8;0.24;663;0.01;0.97;0.008832459;3524.421534;0
1408;1436;BHADAR D/S JETPUR VILL. AFTER CONF. OF W.WATER FROM JETPUR CITY.GUJARAT;GUJARAT;29;0.69;5.6;0.5;1265;0.019;0.1;0.000828043;91.29057942;0
1409;2072;RIVER BHOGAVO D/S OF SURENDRANAGAR.;GUJARAT;28;0.64;4.1;0.36;4491;0.068;0.1;0.000828043;214.5024038;0
1410;2082;TRIVENI SANGAM. NR. SOMNATH TEMPLE. VERAVAL. DIST. JUNAGADH.;GUJARAT;29;0.69;6.3;0.56;43983;0.669;1.22;0.011132579;83.92488406;0
1413;1476;MANDOVI AT TONCA. MARCELA. GOA;GOA;27;0.58;6.5;0.58;28;0;0.05;0.000368019;88.38795014;0
1423;2272;RIVER KUSHAWATI NEAR BUND AT KEVONA.RIVON.SANGUEM;GOA;26;0.53;6.2;0.55;146;0.002;0.09;0.000736038;81.63846435;0
1426;2276;RIVER BICHOLIM VARAZAN NAGAR . BICHOLIM;GOA;28;0.64;8.1;0.72;335;0.005;0.21;0.001840096;91.34771217;0
1427;1093;ULHAS AT U/S OF NRC BUND AT MOHANE. MAHARASHTRA;MAHARASHTRA;26;0.53;6.3;0.56;119;0.002;0.37;0.003312172;86.54121072;0
1428;1094;ULHAS AT U/S OF BADLAPUR. MAHARASHTRA;MAHARASHTRA;27;0.58;6.4;0.57;109;0.001;0.42;0.003772196;82.20085043;0
1429;2162;ULHAS RIVER ATJAMBHUL WATER WORKS.;MAHARASHTRA;27;0.58;5.9;0.52;119;0.002;0.65;0.005888306;84.17425188;0
1430;1461;BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS). MAHARASHTRA;MAHARASHTRA;25;0.47;5.3;0.47;109;0.001;0.38;0.003404177;89.43923362;0
1431;1092;KALU AT ATALE VILLAGE. MAHARASHTRA;MAHARASHTRA;26;0.53;6;0.53;301;0.004;0.3;0.002668139;107.3264583;0
1432;1462;PATALGANGA NEAR INTAKE OF MIDC W/W. MAHARASHTRA;MAHARASHTRA;22;0.31;6.6;0.59;131;0.002;0.83;0.007544392;88.37316319;0
1433;1151;PATALGANGA AT SHILPHATA. MAHARASHTRA;MAHARASHTRA;22;0.31;6.8;0.61;110;0.002;0.49;0.00441623;86.43327594;0
1434;1152;KUNDALIKA AT ROHA CITY. MAHARASHTRA;MAHARASHTRA;27;0.58;6.7;0.6;109;0.001;0.28;0.002484129;90.9185029;0
1435;2198;KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE );MAHARASHTRA;29;0.69;5.2;0.46;478;0.007;0.35;0.003128163;200.9249606;0
